id,priority,category,working_title,angle (why a reader cares),linked_entities,primary_sources_to_check,status,author,human_reviewer,fact_check_done,plagiarism_score,signed_off_date
P001,1,legal,"The Taylor Swift master-catalog dispute: who owns a recording, and why",Explain master vs. publishing rights in plain language for fans,taylor-swift; taylor-swift-master-catalog-dispute,Public statements by the parties; any filed agreements or court records; music-rights explainers from a copyright authority,planned,,,no,,
P002,1,legal,Cristiano Ronaldo v. Juventus: how a sports arbitration ruled,What CAS arbitration is and how it differs from court,cristiano-ronaldo; court-of-arbitration-for-sport,CAS published award or press release; club/player official statements,planned,,,no,,
P003,1,legal,Engler v. Winfrey: the beef trial explained,Defamation law and food-disparagement statutes in a talk-show context,oprah-winfrey; engler-v-winfrey,Fifth Circuit opinion; N.D. Tex. docket,planned,,,no,,
P004,2,legal,Marbury v. Madison in plain English,Why judicial review exists; 1803 case every viewer hears about,marbury-v-madison; supreme-court-of-the-united-states,Opinion text at supremecourt.gov / LOC,planned,,,no,,
P005,2,legal,Carnival Cruise Lines v. Shute: what the forum clause on your ticket means,Practical for cruise passengers; ties to maritime hub,carnival-cruise-lines-v-shute,SCOTUS opinion (1991),planned,,,no,,
P006,2,legal,United States v. Virginia and the fight over VMI admissions,Equal protection explained through one case,united-states-v-virginia; ruth-bader-ginsburg,SCOTUS opinion (1996),planned,,,no,,
P007,3,legal,The Egypt v. Fahmy trial: what a foreign criminal court case looked like,Comparative-law view for global readers,egypt-v-fahmy-and-mohamed; cairo-criminal-court,Court records; reputable press coverage cross-checked,planned,,,no,,
P008,2,legal,How the Supreme Court of the United States works: a reader's guide,"Court explainer: jurisdiction, famous matters, how to read its rulings",courts,Official court website; published rules,planned,,,no,,
P009,2,legal,How the Delaware Court of Chancery works: a reader's guide,"Court explainer: jurisdiction, famous matters, how to read its rulings",courts,Official court website; published rules,planned,,,no,,
P010,2,legal,How the Court of Arbitration for Sport works: a reader's guide,"Court explainer: jurisdiction, famous matters, how to read its rulings",courts,Official court website; published rules,planned,,,no,,
P011,2,legal,"How the US Court of Appeals, Fifth Circuit works: a reader's guide","Court explainer: jurisdiction, famous matters, how to read its rulings",courts,Official court website; published rules,planned,,,no,,
P012,2,legal,How the SDNY works: a reader's guide,"Court explainer: jurisdiction, famous matters, how to read its rulings",courts,Official court website; published rules,planned,,,no,,
