"SKU","Title","Slug","Description","Department","Category","Brand","Price","Sale Price","Currency","Inventory","Status","Tags","Materials","Color","Size","Images","SEO Title","SEO Description","Collections","Publish"
"AM-HER-0001","Hermès Birkin 30 Rouge H Togo Leather","hermes-birkin-30-rouge-h-togo-leather","A quintessential Birkin 30 in the coveted Rouge H colorway, crafted from scratch-resistant Togo leather with gold-plated hardware. Full set includes lock, keys, clochette and dust bag.","Hermès","hermes-birkin-handbags","Hermès","28000","","USD","1","Featured","birkin;exotic-hardware;investment-piece","Togo Leather;Gold Hardware","Rouge H","30cm","https://example.com/sample-images/am-her-0001-1.jpg;https://example.com/sample-images/am-her-0001-2.jpg;https://example.com/sample-images/am-her-0001-3.jpg","Hermès Birkin 30 Rouge H | Amarisé Maison Avenue","Authenticated Hermès Birkin 30 in Rouge H Togo leather with gold hardware, ready to ship with certificate of provenance.","Best Sellers;Luxury Essentials","true"
"AM-HER-0002","Hermès Birkin 25 Etoupe Clemence Palladium Hardware","hermes-birkin-25-etoupe-clemence-palladium-hardware","The versatile Birkin 25 in Etoupe, a soft taupe-grey that pairs with any wardrobe. Clemence leather offers a slouchy, everyday-luxury silhouette.","Hermès","hermes-birkin-handbags","Hermès","24500","","USD","1","New Arrival","birkin;neutral;everyday","Clemence Leather;Palladium Hardware","Etoupe","25cm","https://example.com/sample-images/am-her-0002-1.jpg;https://example.com/sample-images/am-her-0002-2.jpg;https://example.com/sample-images/am-her-0002-3.jpg","Hermès Birkin 25 Etoupe | Amarisé Maison Avenue","Rare Birkin 25 in Etoupe Clemence leather with palladium hardware, in excellent pre-owned condition.","New Arrivals","true"
"AM-HER-0003","Hermès Kelly 28 Sellier Noir Epsom Gold Hardware","hermes-kelly-28-sellier-noir-epsom-gold-hardware","The Kelly 28 in its sharpest Sellier construction, black Epsom leather holding its shape beautifully. A cornerstone piece for any collection.","Hermès","hermes-kelly-handbags","Hermès","32000","29500","USD","1","Featured","kelly;sellier;black;classic","Epsom Leather;Gold Hardware","Noir","28cm","https://example.com/sample-images/am-her-0003-1.jpg;https://example.com/sample-images/am-her-0003-2.jpg;https://example.com/sample-images/am-her-0003-3.jpg","Hermès Kelly 28 Sellier Noir | Amarisé Maison Avenue","Structured Kelly 28 Sellier in black Epsom leather with gold hardware — the archetypal Hermès silhouette.","Classic Collection;Best Sellers","true"
"AM-HER-0004","Hermès Kelly Cut Biscuit Chevre Silver Hardware","hermes-kelly-cut-biscuit-chevre-silver-hardware","An elegant Kelly Cut in soft Chevre goatskin, finished in the warm neutral Biscuit. Doubles as a clutch or shoulder bag via the optional strap.","Hermès","hermes-clutch","Hermès","15500","","USD","1","Active","kelly-cut;clutch;neutral","Chevre Leather;Palladium Hardware","Biscuit","31cm","https://example.com/sample-images/am-her-0004-1.jpg;https://example.com/sample-images/am-her-0004-2.jpg;https://example.com/sample-images/am-her-0004-3.jpg","Hermès Kelly Cut Biscuit | Amarisé Maison Avenue","Hermès Kelly Cut clutch in Biscuit Chevre leather with palladium hardware, pristine condition.","Luxury Essentials","false"
"AM-HER-0005","Hermès Constance 24 Blue Nuit Box Calf Gold Hardware","hermes-constance-24-blue-nuit-box-calf-gold-hardware","A vintage Constance 24 in structured Box Calf leather, deep Blue Nuit hue. The oversized H clasp remains one of Hermès’ most recognizable design signatures.","Hermès","hermes-constance-handbags","Hermès","12800","","USD","1","Active","constance;box-calf;vintage","Box Calf Leather;Gold Hardware","Blue Nuit","24cm","https://example.com/sample-images/am-her-0005-1.jpg;https://example.com/sample-images/am-her-0005-2.jpg;https://example.com/sample-images/am-her-0005-3.jpg","Hermès Constance 24 Blue Nuit | Amarisé Maison Avenue","Vintage Hermès Constance 24 in Blue Nuit box calf leather with the iconic H clasp.","Classic Collection","true"
"AM-HER-0006","Hermès Evelyne III 33 Gold Clemence Leather","hermes-evelyne-iii-33-gold-clemence-leather","The effortless Evelyne III in Gold Clemence leather, with the signature perforated H on the front panel and an adjustable crossbody strap.","Hermès","hermes-evelyne-bags","Hermès","4200","3800","USD","1","Active","evelyne;crossbody;casual","Clemence Leather;Palladium Hardware","Gold","33cm","https://example.com/sample-images/am-her-0006-1.jpg;https://example.com/sample-images/am-her-0006-2.jpg;https://example.com/sample-images/am-her-0006-3.jpg","Hermès Evelyne III 33 Gold | Amarisé Maison Avenue","Casual Hermès Evelyne III crossbody in the warm Gold colorway, perforated H detail.","Summer Edit","true"
"AM-HER-0007","Hermès Picotin Lock 18 Rose Sakura Swift Leather","hermes-picotin-lock-18-rose-sakura-swift-leather","A cheerful Picotin Lock 18 in the delicate Rose Sakura shade, soft Swift leather with a relaxed, bucket-style silhouette.","Hermès","hermes-picotin-bags","Hermès","5800","5200","USD","1","New Arrival","picotin;pink;mini","Swift Leather;Palladium Hardware","Rose Sakura","18cm","https://example.com/sample-images/am-her-0007-1.jpg;https://example.com/sample-images/am-her-0007-2.jpg;https://example.com/sample-images/am-her-0007-3.jpg","Hermès Picotin Lock 18 Rose Sakura | Amarisé Maison Avenue","Playful Hermès Picotin Lock 18 in soft Rose Sakura Swift leather.","New Arrivals;Summer Edit","true"
"AM-HER-0008","Hermès Lindy 26 Craie Clemence Leather","hermes-lindy-26-craie-clemence-leather","The roomy Lindy 26, prized for its double top handles and pillowy silhouette, here in the crisp neutral Craie.","Hermès","hermes-lindy-bags","Hermès","10500","","USD","1","Active","lindy;neutral;spacious","Clemence Leather;Palladium Hardware","Craie","26cm","https://example.com/sample-images/am-her-0008-1.jpg;https://example.com/sample-images/am-her-0008-2.jpg;https://example.com/sample-images/am-her-0008-3.jpg","Hermès Lindy 26 Craie | Amarisé Maison Avenue","Spacious Hermès Lindy 26 in chalky-white Craie Clemence leather.","Luxury Essentials","false"
"AM-HER-0009","Hermès Bolide 27 Vert Fonce Togo Leather","hermes-bolide-27-vert-fonce-togo-leather","Hermès’ original 1923 travel-bag silhouette, updated here in deep forest-green Togo leather with a zip-top closure and gold hardware.","Hermès","hermes-bolide-bags","Hermès","11200","","USD","1","Active","bolide;green;vintage-shape","Togo Leather;Gold Hardware","Vert Fonce","27cm","https://example.com/sample-images/am-her-0009-1.jpg;https://example.com/sample-images/am-her-0009-2.jpg;https://example.com/sample-images/am-her-0009-3.jpg","Hermès Bolide 27 Vert Fonce | Amarisé Maison Avenue","Hermès Bolide 27 in deep Vert Fonce Togo leather, the house’s original travel bag silhouette.","Classic Collection","true"
"AM-HER-0010","Hermès Bearn Wallet Ebene Epsom Leather","hermes-bearn-wallet-ebene-epsom-leather","A refined long wallet in structured Epsom leather, dark Ebene brown, with the classic Bearn flap closure.","Hermès","hermes-wallets","Hermès","2100","","USD","1","Active","wallet;accessory;gift","Epsom Leather;Gold Hardware","Ebene","One Size","https://example.com/sample-images/am-her-0010-1.jpg;https://example.com/sample-images/am-her-0010-2.jpg;https://example.com/sample-images/am-her-0010-3.jpg","Hermès Bearn Wallet Ebene | Amarisé Maison Avenue","Hermès Bearn long wallet in dark Ebene Epsom leather with gold-tone hardware.","Gift Guide","true"
